opensubtitle_movie_complete_title,imdb_movie_complete_title,year,index_idmovie,votes,rating,country,genre,movie_script_txt_file_name,movie_id_boxoffice_clean_data,studio,total_gross,total_theatres,opening,opening_theatres,open_date,running_time
Zombieland,Zombieland (2013) (TV),2013,149772,6617,5.9,USA,Horror,2013_149772.txt,15773,Sony,"$75,590,286 ","3,171","$24,733,155 ","3,036",10/2/09,28
Hell Baby,Hell Baby (2013),2013,155595,7631,4.8,USA,Horror,2013_155595.txt,9940,MNE,"$8,785 ",10,"$4,980 ",10,9/6/13,98
The Lifeguard,The Lifeguard (2013),2013,155868,11908,5.7,USA,Romance,2013_155868.txt,1263,Scre.,n/a,n/a,n/a,n/a,8/30/13,98
Despicable Me 2,Despicable Me 2 (2013),2013,154602,298193,7.5,USA,Sci-Fi,2013_154602.txt,9808,Uni.,"$368,061,265 ","4,003","$83,517,315 ","3,997",7/3/13,98
The Great Gatsby,The Great Gatsby (2013),2013,148243,377722,7.3,USA,Romance,2013_148243.txt,9973,Par.,"$20,563,273 ",n/a,n/a,n/a,3/28/74,143
Turbo,Turbo (2013),2013,155384,64675,6.5,USA,Sport,2013_155384.txt,10064,Fox,"$83,028,128 ","3,809","$21,312,625 ","3,806",7/17/13,96
Lovelace,Lovelace (2013),2013,156490,32036,6.2,USA,Drama,2013_156490.txt,8797,RTWC,"$356,582 ",118,"$184,536 ",118,8/9/13,93
Copperhead,Copperhead (2013),2013,154322,681,5.5,USA,Drama,2013_154322.txt,8402,FC,"$171,740 ",59,"$55,625 ",59,6/28/13,120
Parker,Parker (2013),2013,144819,93673,6.2,USA,Thriller,2013_144819.txt,13021,FD,"$17,616,641 ","2,238","$7,008,222 ","2,224",1/25/13,118
Gangster Squad,Gangster Squad (2013),2013,132811,178372,6.7,USA,Thriller,2013_132811.txt,13199,WB,"$46,000,903 ","3,103","$17,070,347 ","3,103",1/11/13,113
Savannah,Savannah (2013),2013,155684,1115,6,USA,Romance,2013_155684.txt,13386,KE,"$37,240 ",14,"$15,599 ",14,8/23/13,101
10 Rules for Sleeping Around,10 Rules for Sleeping Around (2013),2013,157438,2294,3.7,USA,Romance,2013_157438.txt,12904,Scre.,n/a,n/a,n/a,n/a,4/4/14,94
The Conjuring,The Conjuring (2013),2013,155583,320738,7.5,USA,Thriller,2013_155583.txt,12322,WB (NL),"$137,400,141 ","3,115","$41,855,326 ","2,903",7/19/13,112
Movie 43,Movie 43 (2013),2013,143230,81917,4.3,USA,Romance,2013_143230.txt,10537,Rela.,"$8,840,453 ","2,023","$4,805,878 ","2,023",1/25/13,90
Blue Caprice,Blue Caprice (2013),2013,158536,4697,6,USA,Drama,2013_158536.txt,11154,IFC,"$93,995 ",36,"$13,400 ",1,9/13/13,93
After Earth,After Earth (2013),2013,139649,163242,4.9,USA,Sci-Fi,2013_139649.txt,5925,Sony,"$60,522,097 ","3,401","$27,520,040 ","3,401",5/31/13,100
Switch,Switch (2013) (V),2013,157051,6,6.5,USA,Adult,2013_157051.txt,5401,WB,"$15,545,943 ","1,013","$3,770,991 ","1,013",5/10/91,112
Terms and Conditions May Apply,Terms and Conditions May Apply (2013),2013,157839,4619,7.4,USA,News,2013_157839.txt,347,Vari.,"$55,824 ",6,"$4,446 ",1,7/12/13,79
Upstream Color,Upstream Color (2013),2013,150086,23862,6.8,USA,Sci-Fi,2013_150086.txt,1067,erbp,"$444,098 ",43,"$28,649 ",1,4/5/13,96
Ain't Them Bodies Saints,Ain't Them Bodies Saints (2013),2013,159130,16562,6.4,USA,Romance,2013_159130.txt,5783,IFC,"$396,519 ",44,"$26,419 ",3,8/16/13,96
Dead Man Down,Dead Man Down (2013),2013,148472,55769,6.5,USA,Thriller,2013_148472.txt,7452,FD,"$10,895,295 ","2,188","$5,345,250 ","2,188",3/8/13,118
Java Heat,Java Heat (2013),2013,147423,4196,5.2,USA,Thriller,2013_147423.txt,13989,IFC,"$1,061 ",1,n/a,1,5/10/13,104
State of Play,State of Play (2013),2013,158519,140,6.4,USA,Sport,2013_158519.txt,8456,Uni.,"$37,017,955 ","2,807","$14,071,280 ","2,803",4/17/09,87
Love and Honor,Love and Honor (2013),2013,146192,7606,5.7,USA,War,2013_146192.txt,864,Elev.,"$60,910 ",3,"$5,234 ",2,5/2/08,100
Touchy Feely,Touchy Feely (2013),2013,156141,3050,5.3,USA,Drama,2013_156141.txt,4226,Magn.,"$36,128 ",5,"$3,447 ",2,9/6/13,88
Pawn Shop Chronicles,Pawn Shop Chronicles (2013),2013,154812,8872,5.9,USA,Crime,2013_154812.txt,12864,Anch.,"$8,088 ",15,"$4,915 ",15,7/12/13,112
Jack the Giant Slayer,Jack the Giant Slayer (2013),2013,148180,109797,6.3,USA,Fantasy,2013_148180.txt,14597,WB (NL),"$65,187,603 ","3,525","$27,202,226 ","3,525",3/1/13,114
